장소명,시간,실/내외,주소,설명,정보,누구와,무엇을,어떻게,이미지,위도,경도,계절,금액
창동문화거리,낮,실외,경남 창원시 마산합포구 오동서6길 24 창동예술촌,옛 마산의 대표적인 문화거리,카페 / 공용화장실 / 주차,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA1MTZfMTM1%2FMDAxNTI2NDMxNjQ4NzQ5.4Pp4xoSirGOTM52UCZQV0ZWr9Jb__1hO27b6C-JsVG0g.T0r-D7rFrql_mdBuAEtTrGtFtaSHc7NhWM3VqpPtF8Mg.JPEG.gnfeel%2F%25C3%25A2%25B5%25BF_%25BF%25F8%25B0%25ED6.jpg%23740x494,128.5741251,35.2066907,봄여름가을,무료
창동문화거리,낮,실외,경남 창원시 마산합포구 오동서6길 24 창동예술촌,옛 마산의 대표적인 문화거리,카페 / 공용화장실 / 주차,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA1MTZfMTM1%2FMDAxNTI2NDMxNjQ4NzQ5.4Pp4xoSirGOTM52UCZQV0ZWr9Jb__1hO27b6C-JsVG0g.T0r-D7rFrql_mdBuAEtTrGtFtaSHc7NhWM3VqpPtF8Mg.JPEG.gnfeel%2F%25C3%25A2%25B5%25BF_%25BF%25F8%25B0%25ED6.jpg%23740x494,128.5741251,35.2066907,봄여름가을,무료
마산어시장횟집거리,밤,실내,경남 창원시 마산합포구 남성동,마산의 어시장 먹자골목,대중교통이용,가족친구연인,식도락,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200319_156%2F1584621265710dvBGS_JPEG%2FO2lHV9ag4ZGLmjzlIjZmFNzh.jpg,128.5765107,35.2030042,봄여름가을겨울,무료
마산어시장횟집거리,밤,실내,경남 창원시 마산합포구 남성동,마산의 어시장 먹자골목,대중교통이용,가족친구연인,식도락,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200319_156%2F1584621265710dvBGS_JPEG%2FO2lHV9ag4ZGLmjzlIjZmFNzh.jpg,128.5765107,35.2030042,봄여름가을겨울,무료
창원NC파크,밤,실외,경남 창원시 마산회원구 삼호로 63,NC 다이노스의 새 둥지인 창원NC파크는 1982년 건립된 마산종합운동장을 철거 후 2019년 3월 18일 공식 개장했습니다,승용차 이용방법 - 남해고속도로 서마산IC 진출하여 마산종합운동장 방면 약 2.5km. 종합운동장 진입,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MTBfNTgg%2FMDAxNjkxNjQ1NTkyMTIx.ORpT3-pcOqyl825JmNXsxQmRF2TQmwHK56lyu06Yx1sg.QCnlQEPml2qFl0gCVsS5nQGAIH2EMFhp3BNJoa7nBJsg.JPEG.ayh000227%2FIMG_5207.jpg,128.5823895,35.2225335,봄여름가을,예매 및 매표소 이용
창원NC파크,밤,실외,경남 창원시 마산회원구 삼호로 63,NC 다이노스의 새 둥지인 창원NC파크는 1982년 건립된 마산종합운동장을 철거 후 2019년 3월 18일 공식 개장했습니다,승용차 이용방법 - 남해고속도로 서마산IC 진출하여 마산종합운동장 방면 약 2.5km. 종합운동장 진입,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA4MTBfNTgg%2FMDAxNjkxNjQ1NTkyMTIx.ORpT3-pcOqyl825JmNXsxQmRF2TQmwHK56lyu06Yx1sg.QCnlQEPml2qFl0gCVsS5nQGAIH2EMFhp3BNJoa7nBJsg.JPEG.ayh000227%2FIMG_5207.jpg,128.5823895,35.2225335,봄여름가을,예매 및 매표소 이용
용지공원,낮,실외,경남 창원시 성산구 용지로169번길 26,용지호수공원은 창원의 대표적인 환경친화적 공원이다. 2006년에는 전국 아름다운 도심 공원 베스트 5에 선정되기도 했다,주차 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_272%2F14410260635895e2x0_JPEG%2F116360438730524_0.jpg,128.6804805,35.2322934,봄여름가을겨울,무료
용지공원,밤,실외,경남 창원시 성산구 용지로169번길 26,용지호수공원은 창원의 대표적인 환경친화적 공원이다. 2006년에는 전국 아름다운 도심 공원 베스트 5에 선정되기도 했다,주차 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_272%2F14410260635895e2x0_JPEG%2F116360438730524_0.jpg,128.6804805,35.2322934,봄여름가을겨울,무료
용지공원,낮,실외,경남 창원시 성산구 용지로169번길 26,용지호수공원은 창원의 대표적인 환경친화적 공원이다. 2006년에는 전국 아름다운 도심 공원 베스트 5에 선정되기도 했다,주차 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_272%2F14410260635895e2x0_JPEG%2F116360438730524_0.jpg,128.6804805,35.2322934,봄여름가을겨울,무료
용지공원,밤,실외,경남 창원시 성산구 용지로169번길 26,용지호수공원은 창원의 대표적인 환경친화적 공원이다. 2006년에는 전국 아름다운 도심 공원 베스트 5에 선정되기도 했다,주차 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_272%2F14410260635895e2x0_JPEG%2F116360438730524_0.jpg,128.6804805,35.2322934,봄여름가을겨울,무료
창원과학체험관,낮,실내,경남 창원시 성산구 충혼로72번길 16 창원과학체험관,창원과학체험관은 경남 유일의 과학체험관으로 내일의 주인공인 어린이와 청소년에게 미래의 꿈과 희망을 심어줄 과학의 터전이자 요람이다,주차 / 남-녀 화장실 구분,가족,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_275%2F1441016681169IK1YR_JPEG%2F116061557227521_0.jpg,128.66177,35.230249,봄여름가을겨울,"입장료(어른)
3000원
입장료(청소년/중고등학생/군인)
2500원
입장료(어린이/초등학생)
2000원
4D특수영상관(어른)
2000원
4D특수영상관(청소년/중고등학생/군인)
1500원
4D특수영상관(어린이/초등학생)
1500원
플라네타륨(어른)
2000원
플라네타륨(청소년/ 중고등학생/군인)
1500원
플라네타륨(어린이/초등학생)
1500원"
장미공원,낮,실외,경남 창원시 성산구 창원대로 927,창원 장미공원은 성산구 가음동 31번지에 위치하고 있다. 전체 28700㎡ 규모로 세계 각국의 다양한 장미 총 98여 종 2만3천본이 조성되어 있다,주차 / 남-녀 화장실 구분,가족친구연인,힐링,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA1MTlfMzkg%2FMDAxNDk1MjAzODc5MjA2.9isu95SCrYIv6xVVkVTZM2RDTvGdH0svRgYYjARGsrog.XzuQ9ZTI0RPTxPoSKGau4ImCpjMGEPNKStXWywgpwAkg.PNG.cwopenspace%2Fimage.png%23966x645,128.6918018,35.2065968,봄여름,무료
장미공원,낮,실외,경남 창원시 성산구 창원대로 927,창원 장미공원은 성산구 가음동 31번지에 위치하고 있다. 전체 28700㎡ 규모로 세계 각국의 다양한 장미 총 98여 종 2만3천본이 조성되어 있다,주차 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA1MTlfMzkg%2FMDAxNDk1MjAzODc5MjA2.9isu95SCrYIv6xVVkVTZM2RDTvGdH0svRgYYjARGsrog.XzuQ9ZTI0RPTxPoSKGau4ImCpjMGEPNKStXWywgpwAkg.PNG.cwopenspace%2Fimage.png%23966x645,128.6918018,35.2065968,봄여름,무료
삼귀해안도로,낮,실외,경남 창원시 성산구 귀곡동,바다 옆 카페와 푸드트럭이 늘어선 아름다운 해안도로,카페 / 주차 / 남-녀 화장실 구분 /먹거리,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5163%2F2021%2F09%2F14%2F0000257642_001_20210914064024619.jpg,128.59589,35.171319,봄여름가을겨울,무료
삼귀해안도로,밤,실외,경남 창원시 성산구 귀곡동,바다 옆 카페와 푸드트럭이 늘어선 아름다운 해안도로,카페 / 주차 / 남-녀 화장실 구분 /먹거리,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5163%2F2021%2F09%2F14%2F0000257642_001_20210914064024619.jpg,128.59589,35.171319,봄여름가을겨울,무료
창원가로수길,낮,실외,경남 창원시 성산구 용호로 65,메타세콰이아 나무가 도로 양옆에 즐비한 카페 거리,카페 / 주차 / 먹거리,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNjExMjNfMjUg%2FMDAxNDc5ODc2ODY5MTI2.C2E7GrudKFOSWdkCm0vfRYlhEW2XLkDe6puuJe1DA8Ug.HgioLPEC97hbpEUb-GpjzMtyhCTjweRzIDAPu6V4omIg.JPEG.moon1999%2F%25B0%25A1%25B7%25CE%25BC%25F6%25B1%25E6002.JPG%23900x600,128.6847525,35.2360638,봄여름가을,무료
창원가로수길,밤,실외,경남 창원시 성산구 용호로 65,메타세콰이아 나무가 도로 양옆에 즐비한 카페 거리,카페 / 주차 / 먹거리,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNjExMjNfMjUg%2FMDAxNDc5ODc2ODY5MTI2.C2E7GrudKFOSWdkCm0vfRYlhEW2XLkDe6puuJe1DA8Ug.HgioLPEC97hbpEUb-GpjzMtyhCTjweRzIDAPu6V4omIg.JPEG.moon1999%2F%25B0%25A1%25B7%25CE%25BC%25F6%25B1%25E6002.JPG%23900x600,128.6847525,35.2360638,여름가을,무료
창원가로수길,낮,실외,경남 창원시 성산구 용호로 65,메타세콰이아 나무가 도로 양옆에 즐비한 카페 거리,카페 / 주차 / 먹거리,가족친구연인,드라이브,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNjExMjNfMjUg%2FMDAxNDc5ODc2ODY5MTI2.C2E7GrudKFOSWdkCm0vfRYlhEW2XLkDe6puuJe1DA8Ug.HgioLPEC97hbpEUb-GpjzMtyhCTjweRzIDAPu6V4omIg.JPEG.moon1999%2F%25B0%25A1%25B7%25CE%25BC%25F6%25B1%25E6002.JPG%23900x600,128.6847525,35.2360638,봄여름가을,무료
창원가로수길,밤,실외,경남 창원시 성산구 용호로 65,메타세콰이아 나무가 도로 양옆에 즐비한 카페 거리,카페 / 주차 / 먹거리,가족친구연인,드라이브,대중교통,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNjExMjNfMjUg%2FMDAxNDc5ODc2ODY5MTI2.C2E7GrudKFOSWdkCm0vfRYlhEW2XLkDe6puuJe1DA8Ug.HgioLPEC97hbpEUb-GpjzMtyhCTjweRzIDAPu6V4omIg.JPEG.moon1999%2F%25B0%25A1%25B7%25CE%25BC%25F6%25B1%25E6002.JPG%23900x600,128.6847525,35.2360638,여름가을,무료
대산플라워랜드,낮,실외,경남 창원시 의창구 대산면 모산리,경남 창원에는 동화 속에 나올 것 같은 꽃밭 플라워랜드가 있다,주차 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA2MjBfMjMz%2FMDAxNjg3MjI4Mjg4NDM4.-tUJcGcS1dkVNXGjXdYokDQomDI4_G7oG9gRBVtaXpwg.xzASrUdubg7ZoQOdiZ68H1gOp1K7lkPOd6YEDwx0OpMg.JPEG.dooly187%2F20230616_124326.jpg,128.7168489,35.3564045,봄,무료
주남저수지,낮,실외,경남 창원시 의창구 동읍 주남로101번길 26,경상남도 창원시 의창구 동읍 일원에 있는 저수지로 산남-주남(용산)-동판 3개의 저수지로 이루어져 있다,주차 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200523_237%2F1590216699231RrYW6_JPEG%2FXTWaWgj8R3t-JX3SRCufsD7z.jpg,128.6779252,35.3077543,봄가을,무료
주남돌다리,낮,실외,경남 창원시 의창구 대산면 가술리,경상남도 창원시 의창구 대산면 가술리에 있는 다리로 1996년 3월 11일 경상남도 문화재자료로 지정되었다,용강검문소 하차 후 2번 버스 탑승. 주남 버스정류장 하차 후 도보로 15분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA0MjlfOSAg%2FMDAxNjUxMTU4Njk3NTcx.sDP_pAx89pbnTXkEg4DS3rEtj-q4KlvsGAZ8VYXH0fkg.Xzd3vwZcy9nixwOu7CbipI6DKZzp8pAjE_PZ_Islwi8g.JPEG.sh_dal%2FKakaoTalk_20220427_230822761_27.jpg,128.6923403,35.3145515,봄여름가을겨울,무료
죽동 메타세콰이아길,낮,실외,경상남도 창원시 의창구 동읍 죽동리 321,죽동마을의 아름다운 메타세콰이아길,주차없음,친구연인,드라이브,자차,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA5MDhfNDkg%2FMDAxNjMxMTA2OTI4ODgz.wymGEblSSV9weD-B4VXmfpLc7-eSG0wMlj9JM6ft1PYg.rd-aBB80iXyb3MBR8SOw5Xg0g9wFFB7Q5muFnrLNlFYg.JPEG.mandu1101%2F20210908%25A3%25DF170811.jpg,128.6809515,35.351888,봄여름가을,무료
창원단감테마공원,낮,실외,경남 창원시 의창구 동읍 동읍로359번길 27,전국 최대의 단감 생산지이자 우리나라에서 최초로 단감을 재배한 창원단감의 역사적 가치를 홍보하기 위해 조성한 농촌테마공원,주차 / 남-녀 화장실 구분,가족친구연인,힐링,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA2MTNfMzcg%2FMDAxNTI4ODc2OTUzODE2.ND4vFURRXaEsht8jHYZuPw5SKrvLZ5NB4Qrta4j4kxIg.1soF5Xcf-0IhZ14gltDdPrxfPxXqTacmHv1OOZOCheAg.JPEG.willout%2F740-022.jpg%23740x416,128.6632266,35.2992075,봄여름가을겨울,무료
진해해양공원,낮,실내,경남 창원시 진해구 명동로 62,경상남도 창원시 진해구 명동에 있는 해양공원. 해양관광도시로 거듭나려는 진해구가 음지도라는 작은 섬에 조성한 공원,주차 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200622_280%2F1592809997404bqNwn_JPEG%2FRTQ1sg9pRW_REfonA9848o36.jpg,128.7197327,35.0912807,봄여름가을겨울,"솔라타워 일반(어른)
3500원
솔라타워 일반(학생/군인
2500원
솔라타워 일반(어린이)
1500원
솔라타워 단체(어른)
3000원
솔라타워 단체(학생/군인)
2000원
솔라타워 단체(어린이)
1200원
솔라타워 창원시민(어른)
2000원
솔라타워 창원시민(학생/군인)
1500원
솔라타워 창원시민(어린이)
1000원
어류생태학습관 일반(어른)
2500원"
진해루,낮,실외,경남 창원시 진해구 진희로 150,해군 부대가 있던 곳이 진해루 해변공원으로 바뀌면서 산책길 중간에 생긴 망루가 진해루이다,카페 / 주차 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA2MTdfMjgx%2FMDAxNjg2OTc5OTMzNDA0.yu52BjpiDk4uHw6KJpAcGbf9R7XZDmwdGv0wH1bLF-Ag.6AQadmqodCfdOYMvncrv5Q7Ks5NI-EPOJOfbeSLD5Pwg.JPEG.han03011%2FIMG_1035.jpg,128.6856619,35.1472041,봄여름가을겨울,무료
진해루,밤,실외,경남 창원시 진해구 진희로 150,해군 부대가 있던 곳이 진해루 해변공원으로 바뀌면서 산책길 중간에 생긴 망루가 진해루이다,카페 / 주차 / 남-녀 화장실 구분,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA2MTdfMjgx%2FMDAxNjg2OTc5OTMzNDA0.yu52BjpiDk4uHw6KJpAcGbf9R7XZDmwdGv0wH1bLF-Ag.6AQadmqodCfdOYMvncrv5Q7Ks5NI-EPOJOfbeSLD5Pwg.JPEG.han03011%2FIMG_1035.jpg,128.6856619,35.1472041,봄여름가을겨울,무료
여좌천로망스다리,낮,실외,경남 창원시 진해구 여좌동 217,로망스다리는 2002년 방영되어 큰 사랑을 받은 드라마 <로망스>의 촬영지로 알려진 벚꽃 명소다. 특히 봄에는 분홍빛 벚꽃이 만발해 사랑이 꽃피는 데이트 명소이자 인생 사진 촬영 명소로도 유명하다,카페 /먹거리,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA0MTFfMjYw%2FMDAxNDkxODg3OTY2MzMz.WtSL_paDn4GHbMrdwZs3mlH3OtcaSCOtu_NTOlOWfAgg.Al-hot69unTfZ8Q8aFpqEAd_cFopuWUE9Bkj-sVqLzAg.JPEG.happylion86%2F04075479.JPG%233000x2000,128.659301,35.1543289,봄,무료
여좌천로망스다리,밤,실외,경남 창원시 진해구 여좌동 217,로망스다리는 2002년 방영되어 큰 사랑을 받은 드라마 <로망스>의 촬영지로 알려진 벚꽃 명소다. 특히 봄에는 분홍빛 벚꽃이 만발해 사랑이 꽃피는 데이트 명소이자 인생 사진 촬영 명소로도 유명하다,카페 /먹거리,가족친구연인,드라이브,자차,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA0MTFfMjYw%2FMDAxNDkxODg3OTY2MzMz.WtSL_paDn4GHbMrdwZs3mlH3OtcaSCOtu_NTOlOWfAgg.Al-hot69unTfZ8Q8aFpqEAd_cFopuWUE9Bkj-sVqLzAg.JPEG.happylion86%2F04075479.JPG%233000x2000,128.659301,35.1543289,봄,무료
